semana,llamadas,t,Segmento_normal_changepoint,Segmento_np
2022 W15,652,276,segmento7,segmento6
2022 W16,546,277,segmento7,segmento6
2022 W17,446,278,segmento7,segmento6
2022 W18,633,279,segmento7,segmento6
2022 W19,598,280,segmento7,segmento6
2022 W20,608,281,segmento7,segmento6
2022 W21,577,282,segmento7,segmento6
2022 W22,616,283,segmento7,segmento6
2022 W23,671,284,segmento7,segmento6
2022 W24,637,285,segmento7,segmento6
2022 W25,630,286,segmento7,segmento6
2022 W26,616,287,segmento7,segmento6
2022 W27,828,288,segmento7,segmento6
2022 W28,709,289,segmento7,segmento6
2022 W29,655,290,segmento7,segmento6
2022 W30,646,291,segmento7,segmento6
2022 W31,675,292,segmento7,segmento6
2022 W32,579,293,segmento7,segmento6
2022 W33,627,294,segmento7,segmento6
2022 W34,619,295,segmento7,segmento6
2022 W35,492,296,segmento7,segmento6
2022 W36,581,297,segmento7,segmento6
2022 W37,603,298,segmento7,segmento6
2022 W38,590,299,segmento7,segmento6
2022 W39,347,300,segmento7,segmento6
